Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2014,ARIZONA,Maricopa,4248,70260000,Higley Unified School District,89580,70260107,Chaparral Elementary School,N,410,5,15,39,41,80,501,*,*,76,15,92,525,2,20,66,11,78,541,4,16,38,43,81
2014,ARIZONA,Maricopa,4248,70260000,Higley Unified School District,89581,70260202,Williams Field High School,N,504,18,14,46,22,69,727,1,8,77,14,91,519,1,16,79,4,84,516,18,15,30,38,67
2014,ARIZONA,Yuma,4501,140413000,Crane Elementary District,89582,140413130,Mesquite Elementary,N,404,7,13,52,28,79,499,2,12,75,10,85,512,5,24,67,4,71,524,6,27,39,28,67
2014,ARIZONA,Pima,4407,100212000,Sunnyside Unified District,89584,100212124,Rivera Elementary,N,352,23,29,38,10,48,451,4,32,59,4,64,467,19,66,*,*,16,478,28,37,30,5,35
2014,ARIZONA,Pima,4404,100206000,Marana Unified District,89585,100206122,Rattlesnake Ridge Elementary,N,401,8,18,47,27,74,503,1,11,79,10,89,508,3,39,52,6,58,535,*,*,43,36,80
2014,ARIZONA,Maricopa,4281,70479000,Litchfield Elementary District,89586,70479113,Verrado Elementary School,N,413,7,10,38,46,84,500,1,10,69,20,89,524,3,16,75,6,81,543,3,14,36,47,83
2014,ARIZONA,Pinal,4437,110201000,Florence Unified School District,89587,110201106,Circle Cross Ranch K8 School,N,401,15,25,43,17,60,506,2,18,74,7,81,494,11,34,54,1,55,514,14,21,40,24,64
2014,ARIZONA,Maricopa,4242,70280000,Chandler Unified District #80,89589,70280139,Riggs Elementary,N,421,2,8,45,45,90,516,*,*,77,19,96,533,1,17,69,12,82,559,*,*,34,63,97
2014,ARIZONA,Maricopa,4242,70280000,Chandler Unified District #80,89590,70280138,Ira A. Fulton Elementary,N,421,3,9,43,45,88,519,*,*,76,22,97,537,1,9,76,14,90,539,1,13,47,40,87
2014,ARIZONA,Maricopa,4242,70280000,Chandler Unified District #80,89591,70280243,Arizona College Prep Erie Campus,N,509,*,*,22,76,98,*,*,*,*,*,*,573,*,*,74,25,99,573,*,*,10,86,97
2014,ARIZONA,Maricopa,4277,70462000,Union Elementary District,89592,70462103,Dos Rios Elementary,N,386,35,22,34,9,42,485,7,30,61,2,63,484,17,42,41,1,42,475,30,34,25,10,36
